timestamp,topico,mensaje
2025-04-29 22:00:48,arduino/potenciometros,"150,649"
2025-04-29 22:00:48,arduino/interruptor,ACTIVADO
2025-04-29 22:00:49,arduino/potenciometros,"151,650"
2025-04-29 22:00:49,arduino/interruptor,ACTIVADO
2025-04-29 22:00:50,arduino/potenciometros,"151,649"
2025-04-29 22:00:50,arduino/interruptor,ACTIVADO
2025-04-29 22:00:51,arduino/potenciometros,"150,649"
2025-04-29 22:00:51,arduino/interruptor,ACTIVADO
2025-04-29 22:00:52,arduino/potenciometros,"150,649"
2025-04-29 22:00:52,arduino/interruptor,ACTIVADO
2025-04-29 22:00:53,arduino/potenciometros,"150,649"
2025-04-29 22:00:53,arduino/interruptor,ACTIVADO
2025-04-29 22:00:54,arduino/potenciometros,"149,649"
2025-04-29 22:00:54,arduino/interruptor,ACTIVADO
2025-04-29 22:00:55,arduino/potenciometros,"150,649"
2025-04-29 22:00:55,arduino/interruptor,ACTIVADO
2025-04-29 22:00:56,arduino/potenciometros,"151,650"
2025-04-29 22:00:56,arduino/interruptor,ACTIVADO
2025-04-29 22:00:57,arduino/potenciometros,"151,650"
2025-04-29 22:00:57,arduino/interruptor,ACTIVADO
2025-04-29 22:00:58,arduino/potenciometros,"150,649"
2025-04-29 22:00:58,arduino/interruptor,ACTIVADO
2025-04-29 22:00:59,arduino/potenciometros,"150,650"
2025-04-29 22:00:59,arduino/interruptor,ACTIVADO
2025-04-29 22:01:00,arduino/potenciometros,"150,650"
2025-04-29 22:01:00,arduino/interruptor,ACTIVADO
2025-04-29 22:01:01,arduino/potenciometros,"150,650"
2025-04-29 22:01:01,arduino/interruptor,ACTIVADO
2025-04-29 22:01:02,arduino/potenciometros,"151,650"
2025-04-29 22:01:02,arduino/interruptor,ACTIVADO
2025-04-29 22:01:03,arduino/potenciometros,"150,650"
2025-04-29 22:01:03,arduino/interruptor,ACTIVADO
2025-04-29 22:01:04,arduino/potenciometros,"150,649"
2025-04-29 22:01:04,arduino/interruptor,ACTIVADO
2025-04-29 22:01:05,arduino/potenciometros,"150,649"
2025-04-29 22:01:05,arduino/interruptor,ACTIVADO
2025-04-29 22:01:06,arduino/potenciometros,"150,649"
2025-04-29 22:01:06,arduino/interruptor,ACTIVADO
2025-04-29 22:01:07,arduino/potenciometros,"150,650"
2025-04-29 22:01:07,arduino/interruptor,ACTIVADO
2025-04-29 22:01:08,arduino/potenciometros,"150,650"
2025-04-29 22:01:08,arduino/interruptor,ACTIVADO
2025-04-29 22:01:09,arduino/potenciometros,"151,649"
2025-04-29 22:01:09,arduino/interruptor,ACTIVADO
2025-04-29 22:01:10,arduino/potenciometros,"150,649"
2025-04-29 22:01:10,arduino/interruptor,ACTIVADO
2025-04-29 22:01:11,arduino/potenciometros,"150,650"
2025-04-29 22:01:11,arduino/interruptor,ACTIVADO
2025-04-29 22:01:12,arduino/potenciometros,"150,649"
2025-04-29 22:01:12,arduino/interruptor,ACTIVADO
2025-04-29 22:01:13,arduino/potenciometros,"150,650"
2025-04-29 22:01:13,arduino/interruptor,ACTIVADO
2025-04-29 22:01:14,arduino/potenciometros,"150,649"
2025-04-29 22:01:14,arduino/interruptor,ACTIVADO
2025-04-29 22:01:15,arduino/potenciometros,"150,649"
2025-04-29 22:01:15,arduino/interruptor,ACTIVADO
2025-04-29 22:01:16,arduino/potenciometros,"150,649"
2025-04-29 22:01:16,arduino/interruptor,ACTIVADO
2025-04-29 22:01:17,arduino/potenciometros,"150,650"
2025-04-29 22:01:17,arduino/interruptor,ACTIVADO
2025-04-29 22:01:18,arduino/potenciometros,"150,649"
2025-04-29 22:01:18,arduino/interruptor,ACTIVADO
2025-04-29 22:01:19,arduino/potenciometros,"150,649"
2025-04-29 22:01:19,arduino/interruptor,ACTIVADO
2025-04-29 22:01:20,arduino/potenciometros,"150,649"
2025-04-29 22:01:20,arduino/interruptor,ACTIVADO
2025-04-29 22:01:21,arduino/potenciometros,"150,649"
2025-04-29 22:01:21,arduino/interruptor,ACTIVADO
2025-04-29 22:01:22,arduino/potenciometros,"150,650"
2025-04-29 22:01:22,arduino/interruptor,ACTIVADO
2025-04-29 22:01:23,arduino/potenciometros,"150,649"
2025-04-29 22:01:23,arduino/interruptor,ACTIVADO
2025-04-29 22:01:24,arduino/potenciometros,"151,650"
2025-04-29 22:01:24,arduino/interruptor,ACTIVADO
2025-04-29 22:01:25,arduino/potenciometros,"150,649"
2025-04-29 22:01:25,arduino/interruptor,ACTIVADO
2025-04-29 22:01:26,arduino/potenciometros,"150,650"
2025-04-29 22:01:26,arduino/interruptor,ACTIVADO
2025-04-29 22:01:27,arduino/potenciometros,"150,650"
2025-04-29 22:01:27,arduino/interruptor,ACTIVADO
2025-04-29 22:01:28,arduino/potenciometros,"150,650"
2025-04-29 22:01:28,arduino/interruptor,ACTIVADO
2025-04-29 22:01:29,arduino/potenciometros,"150,650"
2025-04-29 22:01:29,arduino/interruptor,ACTIVADO
2025-04-29 22:01:30,arduino/potenciometros,"150,650"
2025-04-29 22:01:30,arduino/interruptor,ACTIVADO
2025-04-29 22:01:31,arduino/potenciometros,"150,650"
2025-04-29 22:01:31,arduino/interruptor,ACTIVADO
2025-04-29 22:01:32,arduino/potenciometros,"150,650"
2025-04-29 22:01:32,arduino/interruptor,ACTIVADO
2025-04-29 22:01:33,arduino/potenciometros,"150,650"
2025-04-29 22:01:33,arduino/interruptor,ACTIVADO
2025-04-29 22:01:34,arduino/potenciometros,"150,650"
2025-04-29 22:01:34,arduino/interruptor,ACTIVADO
2025-04-29 22:01:35,arduino/potenciometros,"150,649"
2025-04-29 22:01:35,arduino/interruptor,ACTIVADO
2025-04-29 22:01:36,arduino/potenciometros,"150,650"
2025-04-29 22:01:36,arduino/interruptor,ACTIVADO
2025-04-29 22:01:37,arduino/potenciometros,"150,649"
2025-04-29 22:01:37,arduino/interruptor,ACTIVADO
